question_language,term,sample_english,term_occurrences,n_questions
nyn,engahi,I've been spending a lot of time with my friends and I've been spending a lot of time with my friends and I've been spending a lot of time with my friends and I've been spending a lot of time with my friends and I've been spending a lot of time with my friends and I've been spending a lot of time with my friends and I've been spending a lot of time with my friends and I've been spending a lot of time with my friends and I've been spending a lot of time with them.,8,8
swa,sawa,"Q. If a goat opens its back, can it come back intact as long as I'm wearing a bandage?",8,7
swa,nidawa,Peter asked what is the best way to finish a robot with a chicken?,8,7
nyn,kyangye,And I'm going to start at the same time I'm going to spend all my money.,8,8
nyn,ebiti,"When I wake up, do I want to receive the little things I want to receive?",8,8
nyn,innocent,"E# Do you walk around with your fingers and your toes and your fingers and your toes and your fingers and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your fingers and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your fingers and your toes and your toes and your toes and your toes and your toes and your toes, and your toes and your toes and your toes and your toes, and your toes and your toes and your toes and your toes and your toes, and your toes and your toes, and your toes and your toes and your toes and your toes, and your toes and your toes and your toes and your toes, and your toes and your toes and your toes and your toes, and your toes and your toes and your toes and your toes and your toes and your toes and your toes, and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes, and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes, and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and your toes and toes and your toes and toes and your toes and your toes and toes and your toes and toes and toes and toes and toes and toes and toes and toes and toes and toes and toes and toes and toes and toes and toes and toes and toes and toes and toes and toes",8,7
nyn,biri,How do you find the color of the Amazon rainforest in a yellow color?,8,8
lug,kika,"Just as the world is full of life and death, I am your father's son.",8,5
lug,kikaki,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",8,3
nyn,yagye,ETHNEY YAGYE NEKYWEKA OURUHU was born.,8,7
nyn,ahakutandika,Agnes asked: Question: I am going to raise Enjokyi Ebihumi and I am going to write Nimbitega Ryari and Niteganta Garukamu with E18 as the beginning of the message.,8,8
nyn,bangye,"I have a lot of respect for God's people, and I have a lot of respect for God's people, and I have a lot of respect for God's people, and I have a lot of respect for God's people.",8,5
swa,sukumawiki,"When a branch burns and burns, what causes it and how can you treat it?",8,8
nyn,nimubazikyi,There are only a handful of blackberries available on the market.Do you know how to use them?,8,7
nyn,oba,"What is the meaning of love or hate, carrot, murder, etc.?",8,7
nyn,tera,e yegiite by nicholas buhweju nimbuza ebihimba edebe negura and tera 0787695515,8,8
swa,unatumia,"When planting tomatoes, what dose do you take from female to female?",8,6
nyn,ninkoranta,Do you know how many times you've read a newspaper?,8,5
nyn,abahingi,"Q. What is the meaning of the words ""I am against the devil"" in the words of the Bible?",8,6
nyn,nimbasanta,Is it easy to remember how many times I've had to eat too much?,8,8
swa,unapanda,"When planting tomatoes, what dose do you take from female to female?",8,5
swa,nanasi,How many months does the pineapple take before it is ready to grow?,8,8
swa,wake,Can one ask the question of his body?,8,6
nyn,eine,E: Why do I hate this kind of music?,8,7
nyn,kunu,"In addition to KUNU KWG, we have been given the opportunity to work with the NAZO ZITITANDIRES to work with the UNITED STATES OBURWAIRE BENTE NGUNI KYIFURUTO, OMBAZI NIGUHA DAMYANO TUMUHIMBISE KWG D.",8,7
nyn,abaguzi,There are three main reasons for this: I want to be friends with my friends.,8,8
nyn,ibanda.,How can I get rid of ebihimba bikimara when they grow their red hair?I'm Clemensia omuri Ibanda.,8,6
nyn,nindwaraki,What do I need to know and what do I need to know and what do I need to know?,8,8
nyn,epunu,And the EPUNO YAGUE will change your life for the rest of your life.,8,7
nyn,ahabwaki,Why have I been ill for so long?,8,6
nyn,emirundi,E Ebehimba and Behaving Angry in How Many Rounds?,8,7
swa,kitungu,"If I want to climb a tree, I can climb a tree.",8,5
swa,apewe,And thank you John for your prayers.,8,5
swa,kipi,What's the food to give my cattle?,8,6
nyn,omuhigi,"In the faith of Ernest Ryo, my son-in-law, I met Emondi in the village and raised Nentama.",8,8
nyn,nka,E Okombekyera empunu ahiguru kanibagira by tizikubonera as the name of the floor.,8,8
swa,ukipanda,"If you planted a bean on an acre, how much grain would you get, and how many grains of beans would it be worth? - Farmer Michael.",8,8
nyn,bata,Q naba nienda to build an enkonko in the path of silence and defeat the three rounds of zirikugwara and die.,8,7
lug,kati,I am the daughter of Solomon and a Buddhist who lives in a house in St. Mecca.,8,8
swa,alafu,"Q I can find where the key is and tell you, how many racks are there and tell you where.",8,7
swa,ningetaka,What techniques would I like to understand that are needed in the cultivation of corn?,8,8
swa,hawa,"S Lina asks.After I have invited all my friends, what is my benefit?",8,6
swa,sio,She's the mother of KAMBO SIO.,8,6
nyn,ebinyobwa,"It is also important to note that the amount of sugar consumed in the soybean is less than the amount of sugar consumed in the soybean, and that the amount of sugar consumed in the soybean is less than the amount of sugar consumed in the soybean.",8,5
swa,after,What do weeds and weeds grow after planting?,8,6
swa,anataka,Who wants the seed?,8,6
swa,nifanyaje,Q cake wng don't know what to do.,8,7
swa,hutaga,Q. What kind of chicken does it chicken more than once a day?,8,5
lug,enkoko,Is it possible to defeat the Enklugoko in the country with the help of Maggi Goka ?Which school is it ?,8,8
swa,500,Q What is Agri? There is a prize of 500.,8,8
swa,narok,S NIKO NAROK  COUT TRANSMARA NINAUSA 8000 by 90 KG,8,8
swa,kitale,I was looking for a way to talk to Niko Kitale.,8,7
nyn,rimwe,"I'd like to have one more, but I don't know if I'm going to be able to do it again.",8,5
swa,vitu,"S. My turkey is yellow in color, what's the problem?",8,8
nyn,nigoma,E omwani gwangye nigoma amatagi korekyi mwebare is the name of the game.,8,8
nyn,shiringi,"E,ebihimba, by Nibigura Shiringi Rukumi, Narukaga Itwe Omuri, as well as others.",8,8
swa,kutengeneza,I want to make a chicken pie meal what is the formula?,8,4
swa,leeks,S:nko na vitunguu za leeks and spices cerery naeza find where to find something.,8,4
nyn,yembizi,"He asked me if I could make a living out of it, if I could make a living out of it, if I could make a living out of it, if I could make a living out of it, if I could make a living out of it, if I could make a living out of it, if I could make a living out of it, if I could make a living out of it.",8,2
swa,soko?,Q:Why do I have 500 cookies and 300 eggs so I don't know how to share the market?,8,5
nyn,nari,E Nahabwaki Ekikonko Kyebicori Nari ekibuba Kitine Obutuguru Burugi.Nikoraki Nayeda Obutuguru Burugi?. is directed by Vicent Mirarikye-kirugu-katerera 0700361438/078332292,8,8
swa,tayari,How long does it take to get ready?,8,8
swa,pamoja,Can you survive the sunflower with friends or friends at work?,8,4
swa,mazuri,"S, Is it for the mother of corn and what kind of water fertilizer is used for the production of good crops?Phillip from Malindi",8,7
swa,hili,I'm going to go to India and look at it in yellow and fertilizer and I'm going to make this a good harvest.,8,6
swa,kuvuna,I'm going to go to India and look at it in yellow and fertilizer and I'm going to make this a good harvest.,8,7
swa,ovyo,The farmer asks: What is the cause of the death of the rabbits? What is the cause of the death of the rabbits?,8,4
swa,wakienyeji,"Me and Ken don't want to spend any money on a baby, but they'll grow up in two days and die.",8,7
swa,long,S.sungura ubeba is pregnant for how long and after giving birth how long does it stay to carry another pregnancy?,8,6
swa,tatizo,"My chicken ate up the money, but I packed my bags.",8,4
swa,nin,"A sheep is one with teeth, and a sheep is one with teeth.",8,4
swa,cerery,There are no leeks and cherry blossoms on the market.,8,4
swa,hampendi,That's why my colleagues don't put pojo and ginger on the potatoes of potato trees like parachichi mangoes.,8,1
nyn,ezaire,"My wife, Ezaire, is a good-for-nothing woman, and I'm a good-for-nothing woman, but I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing.",7,4
swa,wawe,"If Niko and his four dogs are barking up the wrong tree every day and aren't aggressive, how am I supposed to be aggressive?",7,6
nyn,yesimu,E#HUMAN WORKING IN THE WORLD OF GOD AYOHEREZA'S WITNESS WITNESS THE WORLD RIMMER and the name of Jesus and the name of YABA ARAGUZA and ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107,7,5
nyn,nimubaziki,The Nimubaziki Gu  Orafuhiriza Friendship Zitaragarike Oburabyo is also Bukagumamu.,7,6
nyn,ibiri,E Omuhingi Persona you are going to the umisiri of the chairs where you meet two women to buy a pair of shoes.,7,7
swa,lazima,"If you return a good number, you will not need a hammer.",7,5
swa,weka,I want the chicken to cook in kienyeji.,7,5
nyn,indi,"E: avoid sending goats that have been caught in the crossfire, and do not forget that you can use Indi Arineitwe Tanasi.",7,6
nyn,bihimba,E Yegeitte Mbuza Aha Bikyori Naha Bihimba Ninye Aleku is also known as Bikyori.,7,6
swa,hao,"S,I plant corn but there are insects that eat the leaves, what kind of insects are these and what should I do about it?",7,5
nyn,tinkumanya,"In the Bible, we all find a tree of happiness.",7,6
nyn,okuruga,I asked the chicken for how many years it would grow up not to abide by the Laws of Heaven Buhweju Ngarukamu?,7,7
nyn,kungarukamu,I'm the one who asked you how many times you've had to go back to the drawing board.,7,7
nyn,orutookye,E orutookye rwangye ekikoko kiremeiremu is the name of the game.,7,7
swa,coz,"S,Moneya is also used to make plants because I let the trees burn??",7,4
lug,nkoko,It's not like my grandmother's grandmother was dying of a fever .,7,7
nyn,kiruhura,E ebihimba byayero nibigurwa how many burikiro? by kiruhura district,7,7
nyn,rubirizi,E I ENOCKA Rubirizi Yabuza is the assistant of the fifth Omunyanya Zirikurabya Nibagweta Bukolla.,7,7
nyn,kamwengye,"The question is, will I ever be able to get rid of Ebicore when I die?",7,7
nyn,nkoreki?,"What is the meaning of ""yellow"" in Arabic?",7,7
swa,zikiwa,"Q I can find where the key is and tell you, how many racks are there and tell you where.",7,7
nyn,kanungu,"EENYAZANGYE NIZRAGARA EBIRARYO MUMPABURE Alex KANUNGU KAMBUGA, SUB was born in the south of Nigeria.",7,7
nyn,enjuma,"Ebicore of Nibyema as it relates to a week of misunderstandings, or a week of misunderstandings as it relates to a week of unity,",7,4
nyn,uganda,"Why is Uganda's language so widespread, and is the recipe so beautiful? 0785036277",7,7
nyn,zifire,"E Kabagyi by Enkōko like the one-eyed chicken with a squirrel squirrel called Nizo Orikushanga Famu Zifire Zitarwire,",7,6
swa,upanzi,And what else will it take to save your life?,7,7
swa,pwani,I would like to start farming water melon on the coast of Kilifi county.I would like to ask you about the best and most profitable companies.,7,6
swa,zipi,S chicken is beaten with zippers.,7,7
nyn,emere,"NARINDIKWENDA EMEERE EYEIMBUNU ERABAASA OKUZIKUZA JUBAAJUBA NB,KATUGEZE your three dogs and look after EMEERE ERINKANACYI.KA~Where do you go from here? BY: MBONIMPA FRANCIS.",7,5
swa,saidia,"Q,PIPERAZINE is able to tell a donkey to a worm?",7,6
swa,kunyonya,The calf is suckling at the age of a few months and needs seeds at the age of a few months.,7,6
swa,aishi,Is a dog suitable to live for how many years??,7,6
swa,umri,"Can you take a pill to treat illnesses such as age, and what medication can I use?",7,7
swa,nisaidie,"S for my sister Juma, S helped me as much as I could get rid of germs (parasites) outside of Mifugo.",7,7
swa,mifugo,It helps me as much as I can to get rid of the external germs of the cattle.,7,5
swa,mchicha,A friend of mine helped me buy a fertilizer for my mchicha vegetables.,7,4
swa,awe,S my cow anaza weusy goat every time naeza do what ili akizah goat that goat has another different color.,7,5
swa,huanza,SUNGURA WHAKHANGA HUANZA comes after a short while.,7,7
swa,melon,W/MELON's weight is more than 100 pounds.,7,7
lug,obuyambi,In the beginning I Isaac asked for advice until the farmer came back from the floodwaters and the muddy muddy clouds in the sky.,7,7
swa,nyingi,MELONY HITHAJI ANAULIZA KADJA ANAULIZA MELONY HITHAJI MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY is a little too late to know what to know.,7,7
swa,kakamega,This is the story of KakamEGA BELINDAH.,7,6
swa,dume,"Goat Dume Anashida Ya Mkojo Akikojoa Analia Sana and her urine does not burn out, with what medication?",7,6
swa,nimpe,"My cow is eating today, give me food and shelter and plenty of milk?",7,6
swa,inayoweza,What other kind of seed can be used to plant seeds without using its head or leaves?,7,4
lug,oba,Q Can I spray in the form of fruit and vegetables in a dark green or kibbulosa?.,7,6
swa,zingine,It's the indigenous tribe that produces the best crops.,7,7
swa,water,What is the name of water melone in Swahili?,7,7
swa,utatumia,"If you want to grow a tree, what kind of loan do you use?",7,5
swa,namna,What kind of disease is this breast cancer and what kind of tuberculosis is it?,7,6
swa,the,S. I have a question! the BEST fertilizer. to buy potatoes and why?,7,5
nyn,nizingahe?,How much of this is going to cost you?,7,7
swa,vifaraga,I've been looking for more than 50 shoes to wear.,7,4
swa,wilt,S is how we prevent bacteria/fusarium wilt from tomatoes.,7,5
nyn,eya,E Orenda Ebihimba of mixed land use number 0778104423,7,7
swa,dio,I'd like to know how long it takes for a rabbit to mature because it has started to grow rabbits.,7,5
swa,ambazo,I've been asking which foods are safe to keep track of when broiler chicken breaks.,7,5
swa,makaa,S Nauza has a gunia of 30.500 Ksh per gunia. Unazikujia Baringo. NPigie 2547927956,7,7
nyn,aba,Where are the WEFARM offices used?,7,7
nyn,alex,E. Nimbaasa is no match for coffee twig borer and is no match for ALEX IBANDA.,7,7
nyn,enjura,Are you ready to go to the bathroom?,7,6
swa,kupe,Cow's milk can be treated with antibiotics so that you can eat and die quickly as a cow.,7,7
swa,wengi,It's a drug that's been used by so many of us here.,7,6
swa,eka,I'm trying to find a DAP and CAN bottle.,7,5
swa,nusu,I'm trying to find a DAP and CAN bottle.,7,5
swa,minyo,Q-iko is a mixture of sugura and mnisaiyekind to tell you the name of the drug.,7,6
lug,edagala,E edagala lino telikossa mugyele.i asked sulaiman about this.,7,7
swa,mumea,SMS S California and the mother of the deceased.,7,4
nyn,sharura,I was very impressed with Ambrose's reputation in Bukanga.,7,6
swa,iwe,Fruit is a passion fruit that you use to make you feel better.,7,7
nyn,nabaninyenda,And it's going to make a difference in the lives of others.,7,7
swa,yoyote,Is there any medicine or method of preventing nudge of those who eat it?,7,5
swa,inatoka,S bona uki panda maidi harvests its crops when it reaches its peak.,7,6
nyn,amaizi,"I'm not sure if I'm going to be able to do it, but I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it.",7,6
nyn,beyi,And now you're going to talk to the fisherman and talk to our town.,7,6
nyn,kabale,E Ninye Tobias Kuruga Kabale Nihabwenki Ndahinga Emondi Zikababuka Amabababi was born in the city.,7,7
swa,ntapata,I don't want to find the seeds of the wapy pineapple.,7,5
swa,taka,I don't want to know what the best remedy is to eliminate the parasites that are killing my potatoes.,7,5
nyn,emibazi,"E,fuhirire ente emibazi all I have taken to get to the point of illness that will not cause death,nkorenta.",7,6
swa,100,"S,I'd like to grow a 100 degree chicken pie and I'll build your house with chicken.I'll have a few feet per square foot.",7,4
nyn,obutagi,He is the only one who has the ability to give me a lot of skills and a willingness to give it all back to me.,7,7
nyn,nigwoma,E  Ahabwenki Omwani Nigwoma Obutagi was born.,7,7
swa,maeneo,French beans depend on the location or location of their crops.,7,7
nyn,yamara,How long will my five-year vacation be?,7,5
swa,nje,"S for my sister Juma, S helped me as much as I could get rid of germs (parasites) outside of Mifugo.",7,6
nyn,guha,The world is full of books about women. - XAVIER KURUGA RUBANDA,7,7
swa,kinyesi,What does it mean to have so many friends and family?,7,5
nyn,ndyomuhingi,When is the breeding season for the drug and alcohol addict?,7,6
nyn,nibwoma,Obutunda Bwangye I'm afraid of the head Nkoreki,7,6
swa,yakupanda,"In the meantime, we're going to see what kind of seed we can plant.",7,7
nyn,soya,Are you trying to kill black people?,7,4
nyn,obukooko,There are only a handful of blackberries available on the market.Do you know how to use them?,7,7
swa,kukuza,Can you grow cafes at low temperatures?,7,5
nyn,julius,Before Julius Empunu Eshemerire exercised the curia three times in the early days of the Crusade.,7,6
swa,xana,"If my baby is a little older, what can I do about it?",7,6
swa,malindi,"S, Is it for the mother of corn and what kind of water fertilizer is used for the production of good crops?Phillip from Malindi",7,3
swa,mate,"Robert asks, ""Are you on drugs or not?"" The answer is S25 followed by your answer.",7,5
swa,ugojwa,The farmer asks: What is the cause of the death of the rabbits? What is the cause of the death of the rabbits?,7,7
swa,hekari,How many mills of fresh grain per acre are produced?,7,4
swa,kupiga,Do you know how to use Folia Miwa?,7,7
swa,ngap,Is one pound of coconut oil worth a lot of money?,7,4
swa,wap,My chicken who always pours doesn't eat all the eggs.,7,5
swa,kienyenji,Do you want to know how much of the world's population is affected?,7,3
swa,leo,There is no doubt that these foods are the best food for life.,7,6
swa,kuhusu,I would like to start farming water melon on the coast of Kilifi county.I would like to ask you about the best and most profitable companies.,7,6
swa,fertilizer,The nursery of vitunguu uses fertilizer....,7,5
swa,nilikuwa,On my farm I had planted wheat and now I know which plants are growing on that farm and after how long.,7,4
swa,niweke,I've tried to do it but I haven't been able to do it for a week.,7,5
nyn,neha,"I wanted to know about the disease that infects chickens, causing them to bite their noses, nose, and throat.",7,7
swa,kumpa,Q# What medication can I give Asizae's dog?,7,6
nyn,byagye,He asked the other Ebihimba Byagye Ninyeda Omuguzi.,7,7
swa,chai,Is this the tea lady's medicine?,7,5
swa,amepunguza,"S My chicken kienyeji did not eat and eat, and I lost six and a half pounds.",7,4
swa,help,"Q,a person is fit to feed a chicken 60 eggs, how much food, drink half his dizo with them I can make them eat more eggs. please help.",7,5
swa,mjini,"I live in a city where I love to drink beer, but I need to eat food before I can practice flying.",7,2
swa,broiler,Is it like a broiler you can fix it or not?,7,5
nyn,embuuzi,E Embuuzi Epango Negura Shs;zingahe.,7,4
nyn,enyena,"I asked him how he was going to do it, and he asked me how he would do it.",6,4
nyn,kale,"EAMASINA JOSEPH NIMBUZA ASKED YOU KUMUTAMPERE TISHARTI AND NAYGISIRE YOUR OLD HACITOGOLICANS NAHABECO You have to be careful what you wish for in your life, and you have to be careful what you wish for in your life.",6,5
nyn,nkye,E Alex Omwani Tigukakwata Enjura Hasigireyo Nkye Orinde The second month of Enjura Yangwa,6,6
swa,wamevamia,S. I ask if there is a medicine that will help us to cope with mosquitoes that have been harvesting corn in the fields.,6,5
nyn,ebisya,SAMUEL NAJIRA NUNU EBICORI EBISYA OMURI KUMIRO district per 1 kg is 600,6,6
nyn,omwitaka,E Kerebu Kuruga Kamwenge Nimbuza and then Ferru Water Meron and Omwitaka Neyerera for several months.,6,6
nyn,yange,And who asked me if I was going to be able to make a living from music?,6,6
swa,ikona,"S katiya beans and soybeans, which are highly protein-rich.",6,4
nyn,zange,In my goats I've got other goats I've got other goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats,6,5
swa,wanaokula,Is there any medicine or method of preventing nudge of those who eat it?,6,5
nyn,nkahe,"And I wanted to make a goat for a goat, so I knew how much Allan wanted.",6,6
nyn,nahabwenki,The Goat of the Night - Why Nahabwenki?,6,6
nyn,rwangye,"Yes, I'm the one who's looking at you and I'm looking forward to seeing you again.",6,6
nyn,ninshaba,"Yes, I'm the one who's looking at you and I'm looking forward to seeing you again.",6,6
nyn,nishaba,He is the only one who has the ability to give me a lot of skills and a willingness to give it all back to me.,6,6
nyn,byo,"It's the only one I've ever read, and I don't know anything about Allan.",6,5
nyn,gwine,"For the next five years, the Son of Man was sentenced to five years' imprisonment for a crime he did not commit.",6,6
swa,kubanda,S Nikitaka Kubanda Kunde Kamasai Nikiangasi Ninatumia Mboleakani and Nanimbekugani? is that what you want?,6,5
nyn,kukura,"When I was growing up, I used my disability skills to help me.",6,5
swa,yakiwa,The plane is growing my corn on the farm.How can I drive them out and help my corn?,6,4
swa,yangu?,The plane is growing my corn on the farm.How can I drive them out and help my corn?,6,3
nyn,posiano,E Bainomugisha posiano is called District ebeyi yebihimba kegwire tukoreki,6,4
nyn,nikyiretwakyi,And the new power of my friends and friends will bring you peace of mind by Nikiretuwaki Jonath Buhweju.,6,6
nyn,harimu,"I'm not sure if I'm going to be able to do it, but I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it.",6,6
nyn,enkonko,Do you want to know how much money you have and how much money you have?,6,5
nyn,omuceri,What's the meaning of life?,6,6
nyn,"melon,","She is the daughter of Wentura, Water Melon, and Nintwazanta.",6,2
swa,mkubwa,What techniques can I use to cut down a tree without cutting it down as an adult?,6,5
nyn,omurisa,"In the faith of Ernest Ryo, my son-in-law, I met Emondi in the village and raised Nentama.",6,6
nyn,muri,"I asked: ""Working with friends and family is the most important part of life in Rwanda.",6,6
lug,eno,That's the only way we're going to be able to survive!!.,6,4
lug,omulimi,"The DNA of a farmer's farm, farming and agriculture, and Peter's relationship with Isaac, the farmer's son, are there two thousand years of God's existence?",6,4
nyn,okutunga,"I'd like to start making chickens but I don't know what it takes to make those chickens, so you can help me.",6,3
swa,elfu,How much of the land can you make a profit of ten thousand shillings?,6,5
nyn,john,JOHN NINGUZA's father and grandfather had a new home (10) and I was given a card for my mother's room 0776763242.,6,6
nyn,esenene,And I'm going to ask anyone who's interested in the truth about the work of NORAK GARIKAMU NA E29,6,6
nyn,kyangire,E Ente yangye eziire ekizim kyangire is said to be the core.,6,6
nyn,nayo,"E Kabagyi by Enkōko like the one-eyed chicken with a squirrel squirrel called Nizo Orikushanga Famu Zifire Zitarwire,",6,4
lug,ebijanjalo,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",6,2
lug,mbuzi,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",6,2
swa,naitaji,"S NAITAJI MBGU BLU""GAM O796579782 is also available.",6,5
swa,simu,S phone number.,6,6
swa,anataga,"S. if a chicken receives an egg that breaks easily, what is its deficiency?",6,5
lug,okulima,E IJagara teaches me how to grow melon because every farmer is able to pick up the wounds when injured.,6,5
nyn,gwaba,How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home? - How do you feel about your home?,6,6
nyn,nizigura,E Enkoko Nizigura is worth 15000 shillings.,6,6
swa,punda,"S, Samadi is a real asshole.",6,6
swa,breed,Is there a breed of watermelon and is there a chance of survival across the country?,6,4
swa,mchele,Q Mchele How long does it take to farm?,6,6
swa,plz,S. niko has two-month-old chicks and they bleed from the sides of the ears.,6,5
swa,safi,Q#INCUBATOR                                                                                                                                                                                                                                                                                                                                                                                                       ,6,6
swa,gombe,How many hours does it take for the calf to plant the seeds or hatch the female goat?,6,5
nyn,gwe,The power of music is at the heart of life.,6,6
nyn,obutuguru,E Nahabwaki Ekikoko Kyebicori/ekibuba Kitine Obutuguru Burugi.Nikoraki Nayeda Obutuguru Burugi?.,6,3
swa,per,"My son is a chicken farmer, but my chickens are not full and the eggs are so small that I can cook them once or twice a week.",6,5
swa,miche,Q#Godfrey.I can find where the craftsmanship of the bamboo miche can be found.,6,6
swa,kwamba,Q I have a question but let me address it in Kiswahili. Niko and the chick don't like it or it doesn't feel cold. Please help me. [kentaro the greatest.],6,4
swa,mbole,Which is the best of them all?,6,3
swa,patia,What kind of food can a chicken slice to produce more eggs?,6,4
swa,chake,What other kind of seed can be used to plant seeds without using its head or leaves?,6,3
swa,zimeanza,Q: What kind of cold medicine is suitable for use as a first-aid kit for maua?,6,6
swa,kupandwa,"This little rainy season, what kind of plants should be planted?",6,5
swa,haitoi,"My question is, my cow is the first to give birth, and it doesn't have milk as much as expected and it doesn't have a baby's house.",6,5
swa,sipati,S NINA PASSION FRUIT INAOTA MAUA VIAU is the best of both worlds.,6,5
swa,yaweza,Q:How much can an acre of granite produce?,6,4
swa,grass,Which is the best remedy for removing sugar or Kikuyu grass?,6,5
swa,yao,"Q. If a goat is affected by this problem of feeding and drinking or using its milk, does it cause any problem?",6,6
swa,nitapanda,"If I want to climb a tree, I can climb a tree.",6,4
swa,hizo,Q#Where do the companies that sell the most seeds produce spinach seeds in particular?,6,6
nyn,konke,Is my goat Jazeera Shaha one of the fastest things I've ever seen?,6,6
nyn,kyanyima,Is my goat Jazeera Shaha one of the fastest things I've ever seen?,6,6
swa,kuanguka,Q Naulisa's problem is the fall of the grandmother.,6,5
swa,kufanya,What kind of DAP fertilizer is used to make food?,6,6
swa,iliyo,Do you want to spend more money or less?,6,6
swa,hio,Q ata mimi chinda ni hio yea cow now ata yeangu inakaa mda as long as three months ivoo,6,3
lug,kilo,E# And Rakai's mother who weighs 1500 kg Abyagala Ankubireko to 0704499299.,6,5
swa,mash,S-Vifaranga Vikisha Anguliwa Vinachukuwa Mda because they are called by Kupuwa Growers Mash Today Nasipatia Chick Mash.,6,5
nyn,ebeeyi,"Ebeeyi Yebihimba Yellow, short Neyinganaki Okwe Omubutare.",6,4
nyn,nnyine,"In the same way, you'll be able to see the results of the tests as well as the results you'll be able to see.",6,6
nyn,nimubasa,E Nnyine is a manufacturer of cabbage nanogwebicori the two zones of zayezire nimubasa to press customers 0751963974,6,6
nyn,emma,E. ask me if I can tell you what the hell is going on here.I AM FROM BUHWEJU 0706520530,6,5
swa,kujikuna,"S My chicken kienyeji did not eat and eat, and I lost six and a half pounds.",6,3
swa,mnapanda,S Jee MNapanda Maindi Na Na Marage Na Viazi Na Kunde Pya Pojo MBaazi Kabeg Kitunguu.,6,1
